participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,20,15,5,1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1
2,,0,1,1,0,,,,,,,,,,,1,,,,,,,,,
3,2,0,5,5,0,,,,1,,1,1,,,,1,,,,,,,1,,
4,1,0,20,15,5,1,1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1
5,0,0,1,1,0,,,,,,,,,,,,,1,,,,,,,
6,0,0,1,1,0,,,,1,,,,,,,,,,,,,,,,
7,0,0,3,0,0,,,,,,,,,,,0,,0,,0,,,,,
8,1,0,1,1,0,,,,,,,,,,1,,,,,,,,,,
9,0,0,4,4,0,,,,,,,1,1,,,,,1,,,,,1,,
10,0,0,6,4,0,,,,1,1,,1,0,,1,,,,,,,0,,,
11,1,0,4,3,1,,,,,,,,,,,,1,,1,-1,,,,,1
12,1,0,20,13,7,1,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,-1
13,1,0,20,13,4,1,1,1,0,1,1,1,0,1,-1,-1,1,1,-1,1,1,1,0,1,-1
14,0,0,20,16,2,1,1,0,1,1,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,1
15,1,0,20,17,3,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1
16,1,0,2,2,0,,1,,,,,,,,,,,,,,,,,1,
17,0,0,20,11,2,0,1,0,0,1,1,1,1,-1,0,0,-1,1,1,1,0,1,1,0,1
18,1,0,3,3,0,,,,,1,,,,1,,,,,,,,1,,,
19,2,0,18,17,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,-1,1,,1,1,1
20,1,0,10,8,2,1,1,,,,1,1,-1,,1,-1,,1,1,,,1,,,
21,0,0,1,1,0,,,1,,,,,,,,,,,,,,,,,
22,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,1
23,1,0,10,8,2,,,-1,-1,1,1,,,1,1,,,,1,,1,,,1,1
24,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,-1
25,0,0,13,12,1,,1,1,1,,1,,,1,1,1,1,,1,-1,,1,,1,1
26,1,0,8,8,0,1,1,,1,,1,1,,1,,,,1,,,,,,,1
27,1,0,2,1,1,,,,,,,,,,,,,,,-1,,,,1,
28,,0,5,5,0,,,,1,,,,,,,,,,1,,1,,1,,1
29,2,0,20,17,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1
30,1,0,15,12,2,1,1,0,1,1,1,,1,,1,,,,1,-1,1,1,1,1,-1
31,1,0,20,15,4,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,0,1,1,1,1,-1
32,0,0,10,10,0,1,,1,,,,1,1,1,1,,,1,,1,1,,,,1
33,0,0,20,18,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
34,1,0,20,10,1,1,1,-1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1
35,2,0,6,3,2,,,,1,,1,-1,,,,,,,,0,-1,,,1,
36,1,0,20,14,6,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,-1
37,0,0,20,17,3,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1
38,2,0,10,9,0,1,,,1,,1,,1,1,1,,0,1,,,,1,,,1
39,0,0,4,3,0,,,0,,,,,1,,,,,1,,,1,,,,
40,0,0,10,9,1,1,1,1,-1,1,,,,,,1,,,1,,1,,,1,1
41,1,0,20,17,3,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1
42,0,0,20,14,3,1,0,-1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,-1,1,0
43,0,0,20,16,4,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1
44,2,0,6,5,0,,,,1,1,0,,,1,1,,,,1,,,,,,
45,1,0,20,17,3,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1
46,0,0,10,5,0,1,,,0,1,,,,1,,0,0,,,0,1,,,1,0
47,2,0,20,14,3,1,1,1,1,1,0,1,1,1,1,-1,0,1,1,-1,1,1,0,1,-1
48,,0,20,9,2,0,0,0,0,1,1,1,0,1,0,-1,0,-1,1,0,1,1,1,1,0
49,,0,20,17,3,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1
50,,0,10,8,2,,,,-1,,1,1,1,,1,1,,,,-1,1,,,1,1
51,,0,10,9,1,1,1,1,,1,1,,1,1,1,-1,,,,,,1,,,
52,,0,16,13,3,1,1,-1,1,,1,1,1,1,1,1,1,1,1,-1,1,,,,-1
53,,0,2,0,0,,,0,,,,,,,,0,,,,,,,,,
54,,0,14,10,2,1,,1,-1,,,1,1,1,,-1,0,1,,0,1,1,1,1,
55,,0,10,7,3,,,1,-1,,,,1,1,1,1,,1,,-1,,1,,-1,
56,,0,1,1,0,,,,,,,,,1,,,,,,,,,,,
